gen,n_genomes,best_fitness,mean_fitness,best_genome_id,best_percent,overall_best_percent
0,24,0.0886,0.0343,11,0.0886,0.0886
1,24,0.115,0.051,29,0.115,0.115
2,24,0.1154,0.0516,59,0.1154,0.1154
3,24,0.166,0.053,78,0.166,0.166
4,24,0.1728,0.0596,96,0.1728,0.1728
5,24,0.1728,0.0654,118,0.1728,0.1728
6,24,0.166,0.0662,136,0.166,0.1728
7,24,0.1431,0.0692,160,0.1431,0.1728
8,24,0.1431,0.0672,184,0.1431,0.1728
9,24,0.142,0.0881,207,0.142,0.1728
10,24,0.1728,0.0799,229,0.1728,0.1728
11,24,0.1244,0.0839,250,0.1244,0.1728
12,24,0.1421,0.074,286,0.1421,0.1728
13,24,0.1728,0.0685,294,0.1728,0.1728
14,24,0.1145,0.0563,317,0.1145,0.1728
15,24,0.1144,0.0636,317,0.1144,0.1728
16,24,0.1144,0.0727,355,0.1144,0.1728
17,24,0.1224,0.079,385,0.1224,0.1728
18,24,0.166,0.0778,420,0.166,0.1728
19,24,0.166,0.0823,430,0.166,0.1728
20,24,0.166,0.0627,448,0.166,0.1728
21,24,0.166,0.0569,470,0.166,0.1728
22,24,0.163,0.0731,498,0.163,0.1728
23,24,0.1225,0.057,515,0.1225,0.1728
24,24,0.1431,0.0738,548,0.1431,0.1728
25,24,0.1431,0.0644,558,0.1431,0.1728
26,24,0.1431,0.0803,580,0.1431,0.1728
27,24,0.1144,0.0694,598,0.1144,0.1728
28,24,0.1149,0.0637,627,0.1149,0.1728
29,24,0.166,0.0649,641,0.166,0.1728
30,24,0.166,0.0678,668,0.166,0.1728
31,24,0.1728,0.0598,690,0.1728,0.1728
32,24,0.1728,0.0657,712,0.1728,0.1728
33,24,0.166,0.0797,734,0.166,0.1728
34,24,0.1728,0.0768,772,0.1728,0.1728
35,24,0.1531,0.0688,779,0.1531,0.1728
36,24,0.1728,0.0836,814,0.1728,0.1728
37,24,0.1818,0.0729,837,0.1818,0.1818
38,24,0.1818,0.0768,844,0.1818,0.1818
39,24,0.1818,0.0782,866,0.1818,0.1818
40,24,0.1818,0.0682,888,0.1818,0.1818
41,24,0.1818,0.0592,910,0.1818,0.1818
42,24,0.1729,0.0664,937,0.1729,0.1818
43,24,0.1421,0.0737,965,0.1421,0.1818
44,24,0.1149,0.0666,983,0.1149,0.1818
45,24,0.173,0.078,996,0.173,0.1818
46,24,0.1431,0.076,1020,0.1431,0.1818
47,24,0.166,0.0565,1058,0.166,0.1818
48,24,0.1324,0.0755,1077,0.1324,0.1818
49,24,0.1324,0.072,1083,0.1324,0.1818
50,24,0.1419,0.0673,1118,0.1419,0.1818
51,24,0.173,0.0741,1141,0.173,0.1818
52,24,0.1419,0.0747,1155,0.1419,0.1818
53,24,0.1728,0.0879,1174,0.1728,0.1818
54,24,0.166,0.0821,1200,0.166,0.1818
55,24,0.1728,0.0833,1218,0.1728,0.1818
56,24,0.166,0.0788,1240,0.166,0.1818
57,24,0.1729,0.0819,1273,0.1729,0.1818
58,24,0.1728,0.0774,1285,0.1728,0.1818
59,24,0.1728,0.0862,1306,0.1728,0.1818
60,24,0.1728,0.0827,1328,0.1728,0.1818
61,24,0.1728,0.0761,1350,0.1728,0.1818
62,24,0.1728,0.0806,1372,0.1728,0.1818
63,24,0.1728,0.0704,1391,0.1728,0.1818
64,24,0.1728,0.089,1416,0.1728,0.1818
65,24,0.166,0.066,1438,0.166,0.1818
66,24,0.1728,0.0662,1438,0.1728,0.1818
67,24,0.1728,0.0845,1477,0.1728,0.1818
68,24,0.1728,0.1009,1486,0.1728,0.1818
69,24,0.1728,0.1065,1542,0.1728,0.1818
70,24,0.1731,0.1142,1549,0.1731,0.1818
71,24,0.1729,0.1158,1570,0.1729,0.1818
72,24,0.1732,0.1062,1600,0.1732,0.1818
73,24,0.1818,0.133,1612,0.1818,0.1818
74,24,0.1941,0.1159,1649,0.1941,0.1941
75,24,0.1941,0.1196,1661,0.1941,0.1941
76,24,0.194,0.0752,1680,0.194,0.1941
77,24,0.1818,0.0779,1702,0.1818,0.1941
78,24,0.1941,0.0787,1735,0.1941,0.1941
24,0.1818,0.1221,1744,0.1818,0.1818
80,24,0.1941,0.1282,1774,0.1941,0.1941
81,24,0.1941,0.0987,1786,0.1941,0.1941
82,24,0.194,0.0765,1786,0.194,0.1941
83,24,0.1818,0.0801,1786,0.1818,0.1941
