gen,genome_id,fitness,max_percent,complete,steps
0,1,0.0552,0.0552,0,524
0,2,0.02,0.02,0,202
0,3,0.0199,0.0199,0,201
0,4,0.019,0.019,0,192
0,5,0.0195,0.0195,0,198
0,6,0.0538,0.0538,0,539
0,7,0.02,0.02,0,201
0,8,0.02,0.02,0,203
0,9,0.0199,0.0199,0,201
0,10,0.02,0.02,0,205
0,11,0.0886,0.0886,0,897
0,12,0.0359,0.0359,0,365
0,13,0.0199,0.0199,0,202
0,14,0.0366,0.0366,0,367
0,15,0.0362,0.0362,0,364
0,16,0.0202,0.0202,0,204
0,17,0.0593,0.0593,0,595
0,18,0.038,0.038,0,384
0,19,0.0538,0.0538,0,543
0,20,0.0199,0.0199,0,201
0,21,0.019,0.019,0,194
0,22,0.0361,0.0361,0,367
0,23,0.036,0.036,0,364
0,24,0.0555,0.0555,0,556
1,11,0.0538,0.0538,0,541
1,17,0.1076,0.1076,0,1075
1,25,0.02,0.02,0,203
1,26,0.0554,0.0554,0,561
1,27,0.037,0.037,0,377
1,28,0.0193,0.0193,0,197
1,29,0.115,0.115,0,1161
1,30,0.0201,0.0201,0,203
1,31,0.0964,0.0964,0,962
1,32,0.0199,0.0199,0,199
1,33,0.0199,0.0199,0,202
1,34,0.0548,0.0548,0,555
1,35,0.0199,0.0199,0,202
1,36,0.0593,0.0593,0,601
1,37,0.0553,0.0553,0,560
1,38,0.02,0.02,0,204
1,39,0.0964,0.0964,0,969
1,40,0.0201,0.0201,0,202
1,41,0.0886,0.0886,0,889
1,42,0.0374,0.0374,0,376
1,43,0.0199,0.0199,0,201
1,44,0.019,0.019,0,194
1,45,0.0553,0.0553,0,562
1,46,0.1144,0.1144,0,1159
2,29,0.0886,0.0886,0,883
2,46,0.0199,0.0199,0,200
2,47,0.0369,0.0369,0,370
2,48,0.019,0.019,0,191
2,49,0.019,0.019,0,193
2,50,0.1144,0.1144,0,1159
2,51,0.0359,0.0359,0,365
2,52,0.0367,0.0367,0,370
2,53,0.0203,0.0203,0,206
2,54,0.0546,0.0546,0,547
2,55,0.1076,0.1076,0,1075
2,56,0.019,0.019,0,191
2,57,0.0964,0.0964,0,973
2,58,0.0886,0.0886,0,896
2,59,0.1154,0.1154,0,1164
2,60,0.0646,0.0646,0,649
2,61,0.0542,0.0542,0,540
2,62,0.0538,0.0538,0,539
2,63,0.037,0.037,0,372
2,64,0.0199,0.0199,0,202
2,65,0.0198,0.0198,0,202
2,66,0.0376,0.0376,0,384
2,67,0.0593,0.0593,0,599
2,68,0.019,0.019,0,191
3,59,0.1151,0.1151,0,1150
3,50,0.019,0.019,0,190
3,69,0.0359,0.0359,0,359
3,70,0.0964,0.0964,0,971
3,71,0.115,0.115,0,1168
3,72,0.02,0.02,0,202
3,73,0.0203,0.0203,0,207
3,74,0.0538,0.0538,0,540
3,75,0.0538,0.0538,0,539
3,76,0.019,0.019,0,191
3,77,0.019,0.019,0,193
3,78,0.166,0.166,0,1673
3,79,0.019,0.019,0,195
3,80,0.0538,0.0538,0,548
3,81,0.0538,0.0538,0,543
3,82,0.019,0.019,0,192
3,83,0.0964,0.0964,0,967
3,84,0.0202,0.0202,0,204
3,85,0.019,0.019,0,191
3,86,0.0361,0.0361,0,363
3,87,0.1144,0.1144,0,1152
3,88,0.0359,0.0359,0,367
3,89,0.036,0.036,0,364
3,90,0.0362,0.0362,0,367
4,78,0.0201,0.0201,0,204
4,59,0.0554,0.0554,0,554
4,91,0.019,0.019,0,192
4,92,0.019,0.019,0,191
4,93,0.0964,0.0964,0,965
4,94,0.037,0.037,0,376
4,95,0.0538,0.0538,0,546
4,96,0.1728,0.1728,0,1742
4,97,0.1728,0.1728,0,1720
4,98,0.0198,0.0198,0,201
4,99,0.0202,0.0202,0,205
4,100,0.0538,0.0538,0,544
4,101,0.0542,0.0542,0,551
4,102,0.0202,0.0202,0,206
4,103,0.0547,0.0547,0,553
4,104,0.0547,0.0547,0,548
4,105,0.0202,0.0202,0,202
4,106,0.0199,0.0199,0,199
4,107,0.1144,0.1144,0,1146
4,108,0.0552,0.0552,0,557
4,109,0.0378,0.0378,0,386
4,110,0.142,0.142,0,1437
4,111,0.02,0.02,0,201
4,112,0.0964,0.0964,0,966
5,96,0.019,0.019,0,192
5,97,0.0964,0.0964,0,970
5,113,0.0646,0.0646,0,654
5,114,0.0199,0.0199,0,202
5,115,0.1144,0.1144,0,1160
5,116,0.0907,0.0907,0,908
5,117,0.0198,0.0198,0,200
5,118,0.1728,0.1728,0,1738
5,119,0.0199,0.0199,0,205
5,120,0.0964,0.0964,0,981
5,121,0.038,0.038,0,384
5,122,0.02,0.02,0,202
5,123,0.02,0.02,0,201
5,124,0.1144,0.1144,0,1142
5,125,0.0964,0.0964,0,975
5,126,0.0202,0.0202,0,205
5,127,0.0199,0.0199,0,201
5,128,0.0381,0.0381,0,390
5,129,0.0379,0.0379,0,385
5,130,0.1144,0.1144,0,1154
5,131,0.1144,0.1144,0,1142
5,132,0.0964,0.0964,0,968
5,133,0.0886,0.0886,0,900
5,134,0.0379,0.0379,0,386
6,118,0.019,0.019,0,194
6,130,0.019,0.019,0,191
6,135,0.1144,0.1144,0,1146
6,136,0.166,0.166,0,1667
6,137,0.0548,0.0548,0,556
6,138,0.0538,0.0538,0,547
6,139,0.1076,0.1076,0,1085
6,140,0.0964,0.0964,0,967
6,141,0.1238,0.1238,0,1239
6,142,0.0964,0.0964,0,976
6,143,0.0538,0.0538,0,548
6,144,0.0378,0.0378,0,384
6,145,0.0964,0.0964,0,965
6,146,0.0538,0.0538,0,537
6,147,0.019,0.019,0,192
6,148,0.019,0.019,0,192
6,149,0.0548,0.0548,0,554
6,150,0.0964,0.0964,0,976
6,151,0.0379,0.0379,0,386
6,152,0.0538,0.0538,0,539
6,153,0.115,0.115,0,1150
6,154,0.0199,0.0199,0,200
6,155,0.0202,0.0202,0,204
6,156,0.0593,0.0593,0,598
7,136,0.1076,0.1076,0,1087
7,141,0.0964,0.0964,0,977
7,157,0.019,0.019,0,192
7,158,0.1076,0.1076,0,1078
7,159,0.0198,0.0198,0,201
7,160,0.1431,0.1431,0,1440
7,161,0.02,0.02,0,204
7,162,0.1242,0.1242,0,1262
7,163,0.02,0.02,0,202
7,164,0.0964,0.0964,0,967
7,165,0.1144,0.1144,0,1144
7,166,0.02,0.02,0,203
7,167,0.0886,0.0886,0,897
7,168,0.1076,0.1076,0,1090
7,169,0.019,0.019,0,193
7,170,0.0201,0.0201,0,203
7,171,0.0593,0.0593,0,594
7,172,0.0379,0.0379,0,381
7,173,0.0646,0.0646,0,646
7,174,0.0964,0.0964,0,977
7,175,0.1149,0.1149,0,1166
7,176,0.038,0.038,0,386
7,177,0.019,0.019,0,191
7,178,0.1076,0.1076,0,1078
8,160,0.0964,0.0964,0,964
8,162,0.019,0.019,0,193
8,179,0.0964,0.0964,0,976
8,180,0.0964,0.0964,0,978
8,181,0.0964,0.0964,0,966
8,182,0.019,0.019,0,190
8,183,0.0199,0.0199,0,200
8,184,0.1431,0.1431,0,1435
8,185,0.0964,0.0964,0,978
8,186,0.0198,0.0198,0,201
8,187,0.0964,0.0964,0,973
8,188,0.0964,0.0964,0,959
8,189,0.1144,0.1144,0,1142
8,190,0.019,0.019,0,195
8,191,0.0538,0.0538,0,548
8,192,0.0379,0.0379,0,387
8,193,0.0964,0.0964,0,977
