wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec
26.9,512,0,0.0,0.0,0.0,0.0001,0.0213,0.6931,0.0,0.0,19.1
55.6,1024,1,0.0,0.0,0.0,0.0001,0.0006,0.6927,3e-05,0.0,17.9
84.7,1536,2,0.0,0.0,0.0,0.0001,0.0002,0.6931,0.00035,0.0,17.6
113.8,2048,3,0.0,0.0,0.0,-0.0002,0.0002,0.6931,-0.00034,0.0,17.7
143.2,2560,4,0.0,0.0,0.0,-0.0006,0.0003,0.6923,0.0008,0.0,17.5
31.0,3584,5,-0.634,0.0366,0.037,-0.0043,0.0372,0.6833,0.0045,0.0081,33.3
53.5,4608,6,-0.612,0.0388,0.0555,-0.0006,0.0301,0.6411,-1e-05,0.001,45.9
78.1,5632,7,-0.651,0.0349,0.0555,-0.0006,0.03,0.6125,-0.00023,0.0,41.9
100.5,6656,8,-0.643,0.0357,0.0593,-0.0031,0.02,0.5469,0.00033,0.0552,46.0
124.0,7680,9,-0.646,0.0354,0.0593,-0.005,0.0207,0.5169,0.00627,0.0608,43.9
146.5,8704,10,-0.654,0.0346,0.0593,-0.0018,0.0263,0.5522,0.00158,0.0627,46.0
29.9,9728,11,-0.594,0.0406,0.0886,-0.0015,0.0234,0.5358,0.00097,0.0051,34.6
52.4,10752,12,-0.615,0.0385,0.0886,-0.0024,0.0183,0.5171,0.00385,0.033,45.8
84.8,11776,13,-0.604,0.0396,0.0886,-0.0041,0.0199,0.469,0.00255,0.0583,31.8
106.2,12800,14,-0.6,0.04,0.0886,-0.0007,0.0132,0.4785,0.00316,0.0088,48.1
129.8,13824,15,-0.607,0.0393,0.0886,-0.0016,0.0141,0.4626,0.00243,0.012,43.8
152.2,14848,16,-0.604,0.0396,0.0886,-0.0013,0.0147,0.4811,0.00085,0.0005,46.0
174.7,15872,17,-0.603,0.0397,0.0886,0.0004,0.0146,0.4426,-0.00023,0.0,45.9
197.2,16896,18,-0.602,0.0398,0.0886,-0.0003,0.0101,0.4955,0.0006,0.0144,45.9
220.7,17920,19,-0.613,0.0387,0.0886,-0.0008,0.0131,0.4695,0.00461,0.0649,43.9
243.2,18944,20,-0.61,0.039,0.0886,-0.0036,0.0106,0.5161,0.00704,0.0588,45.9
264.6,19968,21,-0.605,0.0395,0.0886,-0.002,0.0068,0.539,0.00405,0.0408,48.1
288.1,20992,22,-0.609,0.0391,0.0886,-0.0001,0.014,0.5472,0.00033,0.0,43.9
310.6,22016,23,-0.608,0.0392,0.0886,-0.0017,0.008,0.5851,-6e-05,0.0347,45.9
333.1,23040,24,-0.607,0.0393,0.0886,-0.001,0.0073,0.5894,0.00022,0.0,45.9
356.6,24064,25,-0.611,0.0389,0.0886,-0.0031,0.0142,0.6285,0.00469,0.1077,43.9
379.1,25088,26,-0.612,0.0388,0.0886,-0.001,0.0072,0.6337,0.00049,0.0,45.9
401.6,26112,27,-0.611,0.0389,0.0886,-0.0015,0.01,0.6646,0.00548,0.03,45.9
426.0,27136,28,-0.618,0.0382,0.0886,-0.0006,0.0125,0.6697,0.00037,0.0,42.2
448.5,28160,29,-0.617,0.0383,0.0886,-0.0031,0.0057,0.6882,0.00426,0.02,45.9
472.0,29184,30,-0.621,0.0379,0.0886,-0.0038,0.0122,0.6781,0.00724,0.0999,43.9
494.4,30208,31,-0.62,0.038,0.0886,-0.0016,0.0068,0.6841,0.00101,0.0222,45.9
517.9,31232,32,-0.622,0.0378,0.0886,-0.0025,0.0117,0.6849,0.00385,0.0012,43.9
541.4,32256,33,-0.624,0.0376,0.0886,-0.0034,0.0047,0.676,0.00479,0.021,43.9
564.9,33280,34,-0.627,0.0373,0.0886,-0.0004,0.01,0.6819,0.00137,0.0,43.8
587.4,34304,35,-0.625,0.0375,0.0886,-0.0036,0.0056,0.6712,0.00052,0.0012,45.9
610.9,35328,36,-0.627,0.0373,0.0886,-0.0008,0.0063,0.6641,0.00066,0.0,43.9
632.3,36352,37,-0.626,0.0374,0.0886,-0.0043,0.0088,0.6676,0.00834,0.0557,48.2
652.7,37376,38,-0.617,0.0383,0.1079,-0.0059,0.0135,0.671,0.00343,0.0217,50.6
674.1,38400,39,-0.615,0.0385,0.1079,-0.0072,0.0067,0.6457,0.00971,0.1108,48.2
698.7,39424,40,-0.618,0.0382,0.1079,-0.0004,0.013,0.6581,-0.00015,0.0037,42.0
721.2,40448,41,-0.619,0.0381,0.1079,-0.0019,0.0101,0.6514,0.00033,0.0039,45.9
744.7,41472,42,-0.62,0.038,0.1079,-0.0021,0.011,0.6297,0.00471,0.0234,43.9
767.1,42496,43,-0.62,0.038,0.1079,-0.0036,0.0116,0.6194,0.00348,0.0186,45.9
787.5,43520,44,-0.615,0.0385,0.1079,-0.003,0.0097,0.64,0.00391,0.0146,50.7
810.0,44544,45,-0.613,0.0387,0.1079,-0.0041,0.0081,0.5983,-0.00035,0.0066,45.9
832.5,45568,46,-0.614,0.0386,0.1079,-0.0042,0.0079,0.614,0.00816,0.0935,45.9
853.9,46592,47,-0.612,0.0388,0.1079,-0.0026,0.0055,0.592,0.00261,0.0129,48.2
877.4,47616,48,-0.613,0.0387,0.1079,-0.0154,0.0143,0.6192,0.01941,0.1584,43.9
899.8,48640,49,-0.613,0.0387,0.1079,-0.0008,0.0088,0.6558,3e-05,0.0015,45.9
922.3,49664,50,-0.611,0.0389,0.1079,-0.0044,0.006,0.6364,0.00122,0.0029,45.9
942.6,50688,51,-0.611,0.0389,0.1079,-0.0033,0.0114,0.6371,0.00166,0.0032,50.8
