wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec
1.2,2048,0,0.616,0.1616,0.4439,-0.0032,0.0555,0.6843,0.00907,0.0425,1760.9
2.2,4096,1,0.364,0.1364,0.4439,-0.0012,0.0561,0.6861,0.00503,0.016,1915.0
3.3,6144,2,0.391,0.1391,0.4439,-0.0028,0.0378,0.6744,0.01062,0.0415,1877.5
4.5,8192,3,0.337,0.1337,0.4439,-0.0023,0.0318,0.6787,0.00441,0.0334,1835.9
5.6,10240,4,0.311,0.1311,0.4439,-0.0043,0.0322,0.6878,0.00964,0.0356,1851.7
6.7,12288,5,0.264,0.1264,0.4439,-0.0001,0.0176,0.6883,0.00029,0.0,1865.4
7.8,14336,6,0.247,0.1247,0.4439,-0.0007,0.0208,0.689,-0.0,0.0,1833.6
8.9,16384,7,0.218,0.1218,0.4439,-0.0008,0.0168,0.6844,0.00238,0.0004,1889.5
10.0,18432,8,0.234,0.1234,0.4439,-0.0018,0.0184,0.6834,0.00728,0.0127,1835.1
11.1,20480,9,0.241,0.1241,0.4439,-0.003,0.02,0.6761,0.00522,0.0411,1839.8
12.2,22528,10,0.268,0.1268,0.4439,-0.0016,0.0231,0.6787,0.00255,0.0122,1837.3
13.3,24576,11,0.265,0.1265,0.4439,-0.0001,0.0192,0.6791,0.0002,0.0,1859.4
14.4,26624,12,0.266,0.1266,0.4439,-0.0041,0.0218,0.688,0.00688,0.0247,1900.3
15.5,28672,13,0.251,0.1251,0.4439,-0.0037,0.0163,0.6822,0.00673,0.0167,1835.6
16.6,30720,14,0.265,0.1265,0.4439,-0.0017,0.016,0.684,0.00164,0.0255,1883.0
17.7,32768,15,0.26,0.126,0.4439,-0.0036,0.0148,0.6809,0.00541,0.0364,1884.2
18.8,34816,16,0.267,0.1267,0.4439,-0.0022,0.0221,0.6642,0.0106,0.0134,1876.1
20.0,36864,17,0.262,0.1262,0.4439,-0.0021,0.0177,0.6689,0.00288,0.0157,1757.9
21.1,38912,18,0.273,0.1273,0.4439,-0.0029,0.0234,0.6682,0.00506,0.0367,1862.4
22.2,40960,19,0.295,0.1295,0.4439,-0.0026,0.0244,0.6542,0.00129,0.0183,1890.7
23.3,43008,20,0.289,0.1289,0.4439,-0.0007,0.021,0.6593,0.00154,0.0,1820.1
24.4,45056,21,0.287,0.1287,0.4439,-0.0019,0.0114,0.6778,0.00235,0.01,1831.4
25.6,47104,22,0.296,0.1296,0.4439,-0.0027,0.0167,0.6846,0.00362,0.026,1814.8
26.7,49152,23,0.288,0.1288,0.4439,-0.0026,0.0116,0.6781,0.00603,0.0216,1879.1
