wall,env_steps,episode,return,best_percent,steps,complete,dead
7.2,227,1,-0.627,0.0373,227,0,1
15.2,420,2,-0.625,0.0375,193,0,1
20.7,608,3,-0.633,0.0367,188,0,1
24.9,794,4,-0.64,0.036,186,0,1
27.7,897,5,-0.801,0.0199,103,0,1
30.4,1001,6,-0.798,0.0202,104,0,1
34.7,1192,7,-0.63,0.037,191,0,1
38.9,1380,8,-0.635,0.0365,188,0,1
41.6,1483,9,-0.8,0.02,103,0,1
44.4,1588,10,-0.797,0.0203,105,0,1
47.2,1692,11,-0.799,0.0201,104,0,1
51.4,1882,12,-0.631,0.0369,190,0,1
55.6,2049,13,-0.635,0.0365,167,0,1
58.4,2154,14,-0.797,0.0203,105,0,1
62.7,2345,15,-0.63,0.037,191,0,1
65.5,2449,16,-0.798,0.0202,104,0,1
69.6,2635,17,-0.639,0.0361,186,0,1
72.4,2739,18,-0.799,0.0201,104,0,1
76.5,2924,19,-0.641,0.0359,185,0,1
80.8,3114,20,-0.631,0.0369,190,0,1
83.5,3218,21,-0.799,0.0201,104,0,1
87.7,3404,22,-0.639,0.0361,186,0,1
91.9,3593,23,-0.633,0.0367,189,0,1
94.7,3697,24,-0.799,0.0201,104,0,1
97.5,3801,25,-0.799,0.0201,104,0,1
101.7,3988,26,-0.637,0.0363,187,0,1
104.5,4092,27,-0.799,0.0201,104,0,1
108.6,4259,28,-0.635,0.0365,167,0,1
112.9,4451,29,-0.628,0.0372,192,0,1
117.1,4640,30,-0.633,0.0367,189,0,1
119.9,4744,31,-0.799,0.0201,104,0,1
124.1,4931,32,-0.638,0.0362,187,0,1
128.3,5120,33,-0.633,0.0367,189,0,1
131.1,5225,34,-0.797,0.0203,105,0,1
135.3,5414,35,-0.633,0.0367,189,0,1
139.5,5605,36,-0.63,0.037,191,0,1
143.7,5790,37,-0.641,0.0359,185,0,1
147.9,5981,38,-0.63,0.037,191,0,1
152.2,6152,39,-0.63,0.037,171,0,1
156.3,6339,40,-0.637,0.0363,187,0,1
160.5,6528,41,-0.633,0.0367,189,0,1
164.8,6718,42,-0.631,0.0369,190,0,1
168.9,6907,43,-0.633,0.0367,189,0,1
173.2,7096,44,-0.634,0.0366,189,0,1
177.5,7293,45,-0.618,0.0382,197,0,1
181.7,7484,46,-0.63,0.037,191,0,1
186.0,7675,47,-0.63,0.037,191,0,1
190.3,7871,48,-0.62,0.038,196,0,1
194.5,8062,49,-0.629,0.0371,191,0,1
198.8,8235,50,-0.628,0.0372,173,0,1
201.6,8338,51,-0.801,0.0199,103,0,1
205.7,8526,52,-0.636,0.0364,188,0,1
210.0,8717,53,-0.63,0.037,191,0,1
212.7,8815,54,-0.81,0.019,98,0,1
217.0,9010,55,-0.622,0.0378,195,0,1
221.3,9207,56,-0.618,0.0382,197,0,1
224.1,9311,57,-0.799,0.0201,104,0,1
232.8,9767,58,-0.114,0.0886,456,0,1
237.1,9964,59,-0.618,0.0382,197,0,1
241.3,10151,60,-0.638,0.0362,187,0,1
244.2,10241,61,-0.81,0.019,90,0,1
248.2,10434,62,-0.626,0.0374,193,0,1
251.0,10537,63,-0.798,0.0202,103,0,1
256.7,10815,64,-0.461,0.0539,278,0,1
261.0,11007,65,-0.627,0.0373,192,0,1
265.2,11196,66,-0.633,0.0367,189,0,1
269.4,11388,67,-0.628,0.0372,192,0,1
278.2,11849,68,-0.104,0.0896,461,0,1
282.4,12038,69,-0.633,0.0367,189,0,1
286.6,12229,70,-0.63,0.037,191,0,1
290.9,12404,71,-0.624,0.0376,175,0,1
295.1,12592,72,-0.635,0.0365,188,0,1
299.4,12789,73,-0.618,0.0382,197,0,1
303.6,12976,74,-0.637,0.0363,187,0,1
309.3,13257,75,-0.453,0.0547,281,0,1
315.5,13563,76,-0.407,0.0593,306,0,1
321.2,13846,77,-0.451,0.0549,283,0,1
325.4,14035,78,-0.633,0.0367,189,0,1
329.7,14228,79,-0.626,0.0374,193,0,1
333.9,14393,80,-0.641,0.0359,165,0,1
339.7,14679,81,-0.445,0.0555,286,0,1
344.0,14874,82,-0.622,0.0378,195,0,1
349.8,15159,83,-0.447,0.0553,285,0,1
354.0,15350,84,-0.63,0.037,191,0,1
359.7,15627,85,-0.462,0.0538,277,0,1
363.9,15818,86,-0.63,0.037,191,0,1
370.5,16150,87,-0.354,0.0646,332,0,1
376.2,16410,88,-0.459,0.0541,260,0,1
380.4,16600,89,-0.631,0.0369,190,0,1
383.2,16700,90,-0.807,0.0193,100,0,1
387.4,16891,91,-0.63,0.037,191,0,1
391.7,17084,92,-0.626,0.0374,193,0,1
396.0,17279,93,-0.622,0.0378,195,0,1
400.2,17470,94,-0.63,0.037,191,0,1
408.9,17926,95,-0.114,0.0886,456,0,1
411.5,18024,96,-0.81,0.019,98,0,1
415.8,18215,97,-0.63,0.037,191,0,1
419.9,18400,98,-0.641,0.0359,185,0,1
424.1,18571,99,-0.63,0.037,171,0,1
428.5,18768,100,-0.618,0.0382,197,0,1
432.8,18964,101,-0.62,0.038,196,0,1
437.1,19161,102,-0.618,0.0382,197,0,1
442.9,19446,103,-0.447,0.0553,285,0,1
447.2,19637,104,-0.63,0.037,191,0,1
