wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec,explained_variance,grad_norm,lr,epochs
55.6,2048,0,-0.702,0.0298,0.0375,-0.0001,0.0981,0.6918,0.00131,0.0,37.1,0.0404,1.1251,0.0003,4
105.9,4096,1,-0.707,0.0293,0.0375,0.0001,0.0574,0.6905,0.00014,0.0,41.0,0.2067,0.5729,0.0003,4
152.0,6144,2,-0.694,0.0306,0.0375,-0.0014,0.0301,0.6729,0.00502,0.0244,44.7,0.4426,0.3083,0.0003,4
198.1,8192,3,-0.68,0.032,0.0382,-0.0005,0.0166,0.6414,0.00218,0.0103,44.8,0.6886,0.3323,0.0003,4
244.1,10240,4,-0.67,0.033,0.0886,-0.0007,0.0585,0.6307,0.00184,0.0,44.8,-0.069,0.3483,0.0003,4
289.0,12288,5,-0.66,0.034,0.0896,-0.0022,0.035,0.611,0.00382,0.0408,46.0,0.3834,0.4549,0.0003,4
332.9,14336,6,-0.649,0.0351,0.0896,-0.0035,0.0185,0.5649,0.00476,0.0469,47.0,0.7354,0.4275,0.0003,4
375.8,16384,7,-0.638,0.0362,0.0896,-0.0027,0.021,0.597,0.00403,0.0553,48.1,0.6622,0.3399,0.0003,4
421.8,18432,8,-0.634,0.0366,0.0896,-0.0008,0.0342,0.5578,0.00162,0.0,44.8,0.4722,0.381,0.0003,4
466.8,20480,9,-0.631,0.0369,0.0896,-0.0006,0.0238,0.5656,0.0006,0.0,45.8,0.6598,0.3215,0.0003,4
509.7,22528,10,-0.623,0.0377,0.0896,-0.0017,0.0412,0.5249,0.00219,0.0162,48.2,0.2115,0.4754,0.0003,4
551.5,24576,11,-0.611,0.0389,0.1083,-0.0028,0.0386,0.5541,0.00267,0.0448,49.4,0.3432,0.3699,0.0003,4
593.3,26624,12,-0.601,0.0399,0.1083,-0.002,0.0319,0.5649,0.00202,0.0271,49.3,0.4747,0.3528,0.0003,4
639.3,28672,13,-0.603,0.0397,0.1083,-0.0028,0.0476,0.5772,0.00424,0.0569,44.9,0.2947,0.3867,0.0003,4
682.2,30720,14,-0.6,0.04,0.1083,-0.0036,0.0328,0.5912,0.00254,0.0239,48.2,0.4966,0.3065,0.0003,4
726.1,32768,15,-0.601,0.0399,0.1083,-0.0019,0.0505,0.5979,0.00091,0.0001,46.9,0.2855,0.3454,0.0003,4
772.2,34816,16,-0.598,0.0402,0.1083,-0.0021,0.0449,0.594,0.00155,0.0123,44.8,0.4183,0.3662,0.0003,4
812.9,36864,17,-0.591,0.0409,0.1421,-0.0022,0.0427,0.6171,0.00225,0.0142,50.7,0.0479,0.3332,0.0003,4
855.8,38912,18,-0.588,0.0412,0.1421,-0.0037,0.0441,0.5807,0.00381,0.0273,48.1,0.3469,0.3529,0.0003,4
900.8,40960,19,-0.585,0.0415,0.1421,-0.0041,0.0398,0.5803,0.00391,0.0573,45.8,0.4538,0.3749,0.0003,4
944.7,43008,20,-0.585,0.0415,0.1421,-0.0025,0.0276,0.5481,0.00339,0.0123,47.0,0.6021,0.262,0.0003,4
986.6,45056,21,-0.575,0.0425,0.1421,-0.0062,0.0325,0.5369,0.00479,0.0591,49.3,0.487,0.3356,0.0003,4
1028.4,47104,22,-0.565,0.0435,0.1421,-0.0057,0.0354,0.5413,0.00304,0.0356,49.4,0.3667,0.3339,0.0003,4
1067.1,49152,23,-0.556,0.0444,0.1421,-0.0071,0.0381,0.5134,0.00639,0.0952,53.4,0.1036,0.4088,0.0003,4
1107.9,51200,24,-0.541,0.0459,0.1424,-0.0042,0.0373,0.5476,0.00159,0.0153,50.6,0.4059,0.3446,0.0003,4
1146.6,53248,25,-0.53,0.047,0.1424,-0.0055,0.0248,0.5153,0.0028,0.0342,53.4,0.4985,0.3464,0.0003,4
1186.4,55296,26,-0.514,0.0486,0.1424,-0.0038,0.0283,0.5046,0.00277,0.0353,51.9,0.4766,0.3283,0.0003,4
1227.2,57344,27,-0.505,0.0495,0.1424,-0.005,0.0453,0.5084,0.00342,0.0463,50.6,0.3458,0.3992,0.0003,4
1265.9,59392,28,-0.493,0.0507,0.1424,-0.0066,0.0205,0.4932,0.00288,0.0282,53.4,0.5591,0.3388,0.0003,4
1304.6,61440,29,-0.478,0.0522,0.1424,-0.0059,0.015,0.4719,0.0025,0.0339,53.4,0.7228,0.3461,0.0003,4
1342.2,63488,30,-0.468,0.0532,0.1424,-0.0117,0.0215,0.4988,0.0067,0.0648,54.9,0.4826,0.312,0.0003,4
1383.0,65536,31,-0.455,0.0545,0.1424,-0.0054,0.0299,0.4457,0.00354,0.0453,50.6,0.502,0.4506,0.0003,4
1422.7,67584,32,-0.445,0.0555,0.1424,-0.0057,0.0261,0.4731,0.00302,0.04,51.9,0.5679,0.3479,0.0003,4
1462.4,69632,33,-0.434,0.0566,0.1424,-0.0048,0.0216,0.4479,0.00229,0.0208,52.0,0.6603,0.3607,0.0003,4
1500.1,71680,34,-0.424,0.0576,0.1424,-0.0075,0.0182,0.4209,0.00396,0.0466,54.9,0.5186,0.3777,0.0003,4
1537.7,73728,35,-0.41,0.059,0.1426,-0.0036,0.0134,0.4047,0.00169,0.0138,54.9,0.6882,0.3536,0.0003,4
1576.4,75776,36,-0.398,0.0602,0.1426,-0.0055,0.0159,0.4508,0.00279,0.0404,53.4,0.7329,0.32,0.0003,4
1616.0,77824,37,-0.389,0.0611,0.1426,-0.0062,0.0253,0.4504,0.00293,0.0305,52.1,0.6248,0.3808,0.0003,4
1654.6,79872,38,-0.377,0.0623,0.1426,-0.0063,0.0135,0.4635,0.00393,0.0508,53.4,0.7407,0.3373,0.0003,4
1695.4,81920,39,-0.367,0.0633,0.1426,-0.0053,0.0351,0.4578,0.00359,0.0416,50.7,0.3948,0.4795,0.0003,4
1733.0,83968,40,-0.357,0.0643,0.1426,-0.0093,0.0094,0.4902,0.00446,0.0563,54.9,0.7701,0.3408,0.0003,4
1771.7,86016,41,-0.342,0.0658,0.1426,-0.0101,0.0194,0.4721,0.00377,0.0492,53.4,0.6761,0.3612,0.0003,4
1809.3,88064,42,-0.329,0.0671,0.1581,-0.0083,0.019,0.445,0.00517,0.0612,54.9,0.5632,0.397,0.0003,4
1846.9,90112,43,-0.313,0.0687,0.1581,-0.0039,0.01,0.4718,0.00237,0.0237,55.0,0.6775,0.3536,0.0003,4
1883.5,92160,44,-0.303,0.0697,0.1739,-0.0056,0.012,0.4663,0.00168,0.015,56.5,0.6294,0.3664,0.0003,4
1921.1,94208,45,-0.29,0.071,0.1739,-0.0054,0.01,0.4609,0.00323,0.0369,54.9,0.77,0.3218,0.0003,4
1959.8,96256,46,-0.276,0.0724,0.1739,-0.0046,0.0133,0.476,0.00267,0.0278,53.4,0.7142,0.3349,0.0003,4
1997.5,98304,47,-0.266,0.0734,0.1739,-0.0055,0.0229,0.4897,0.00289,0.0339,54.9,0.4451,0.3671,0.0003,4
2036.1,100352,48,-0.26,0.074,0.1739,-0.0105,0.0235,0.4908,0.00511,0.0614,53.4,0.5403,0.4122,0.0003,4
2074.8,102400,49,-0.243,0.0757,0.1739,-0.0073,0.0122,0.4982,0.00269,0.036,53.4,0.781,0.3269,0.0003,4
2112.4,104448,50,-0.233,0.0767,0.1739,-0.0057,0.0109,0.4744,0.00545,0.0648,55.0,0.7856,0.3302,0.0003,4
2150.1,106496,51,-0.218,0.0782,0.1739,-0.0087,0.0059,0.453,0.00447,0.0513,54.9,0.8612,0.3844,0.0003,4
2187.7,108544,52,-0.213,0.0787,0.1739,-0.0088,0.0191,0.472,0.00363,0.0431,54.9,0.5495,0.3712,0.0003,4
2225.3,110592,53,-0.197,0.0803,0.1739,-0.0078,0.004,0.4612,0.00366,0.0398,54.9,0.917,0.3674,0.0003,4
2263.0,112640,54,-0.178,0.0822,0.1739,-0.0094,0.0166,0.476,0.00239,0.0308,54.9,0.6522,0.4395,0.0003,4
2300.6,114688,55,-0.162,0.0838,0.1739,-0.0064,0.0048,0.4808,0.00342,0.0396,54.9,0.862,0.3831,0.0003,4
2337.2,116736,56,-0.151,0.0849,0.1739,-0.0071,0.0023,0.4375,0.0057,0.0712,56.5,0.9279,0.405,0.0003,4
2375.7,118784,57,-0.142,0.0858,0.1818,-0.0056,0.0342,0.4571,0.0039,0.0435,53.6,0.1922,0.3691,0.0003,4
2413.3,120832,58,-0.126,0.0874,0.1818,-0.0096,0.0092,0.452,0.00336,0.0385,54.9,0.726,0.353,0.0003,4
2452.0,122880,59,-0.114,0.0886,0.1818,-0.0095,0.0316,0.4388,0.0074,0.0657,53.4,0.3461,0.4412,0.0003,4
2489.6,124928,60,-0.099,0.0901,0.1818,-0.0063,0.0102,0.4814,0.00417,0.0532,54.9,0.7854,0.4295,0.0003,4
2527.3,126976,61,-0.09,0.091,0.1818,-0.0076,0.0213,0.4348,0.00319,0.037,54.9,0.3881,0.3338,0.0003,4
